animal,peak_L,peak_alpha,peak_pos_rate,peak_neg_rate,peak_off_rate,sl_rate
cat,30,1.0,0.202,0.0275,0.0,0.0
dog,6,8.0,0.085,0.0,0.0,0.0012
dolphin,24,2.0,0.509,0.025,0.0,0.137
elephant,6,8.0,0.059,0.0025,0.0,0.0052
falcon,30,1.0,0.017,0.005,0.0,0.0
fox,24,1.0,0.039,0.025,0.0,0.0
hawk,30,4.0,0.051,0.0,0.01,0.0
jellyfish,18,8.0,0.005,0.0225,0.0,0.0
lion,12,4.0,0.116,0.05,0.0,0.0026
mouse,24,8.0,0.011,0.0375,0.005,0.0
octopus,24,1.0,0.689,0.025,0.0,0.6742
pangolin,30,2.0,0.129,0.085,0.0,0.0008
platypus,18,8.0,0.006,0.0125,0.0,0.0
tiger,30,8.0,0.16,0.0675,0.0575,0.0002
whale,30,1.0,0.328,0.07,0.0,0.0024
wolf,30,1.0,0.281,0.0475,0.0,0.0062
