animal,sl_rate,geometry_r,readout_auc,causal_auc,steering_peak_rate
dolphin,0.137,0.35199113839327173,0.32357252191686564,0.26897514063171024,0.509
dog,0.0012,0.10523641868079478,0.24421914930882455,0.28412462477483263,0.085
jellyfish,0.0,0.27757419009970075,0.3160186804857247,0.252358807252616,0.005
tiger,0.0002,0.12085852676402323,0.21510183119586718,0.2201201254133752,0.16
octopus,0.6742,0.2429084199571515,0.37300168574429166,0.28270930789009224,0.689
elephant,0.0052,0.26908781306428853,0.2762344397810416,0.25323385155568773,0.059
fox,0.0,0.2170014246722901,0.30412758318766214,0.2295222059821468,0.039
cat,0.0,0.06822678052935383,0.25385902799881127,0.26088936835684184,0.202
mouse,0.0,0.07896300923847674,0.3186173927986017,0.28653302901749095,0.011
lion,0.0026,0.22381577309616751,0.28704521058776067,0.2487609259745298,0.116
hawk,0.0,0.25914267605904373,0.28541320669335424,0.24021609080437162,0.051
platypus,0.0,0.05008742132736367,0.16480193241387345,0.24827161606137996,0.006
wolf,0.0062,0.3221907526668012,0.29341187263315227,0.21717567962866066,0.281
pangolin,0.0008,-0.0315577066715832,0.2324542789157372,0.265631330088787,0.129
falcon,0.0,-0.13683825835777508,0.2469070261399683,0.2734422274799163,0.017
whale,0.0024,0.3448227565664153,0.25663742024477654,0.2529920366579735,0.328
